编号,ID,姓,性别,投资金额,投资日期,投资时间,
23640,t1***86,陶,先生,200.00,2015-04-23,19:41,
23640,xu***14,许,女士,200.00,2015-04-23,19:41,
23640,mi***38,王,女士,200.00,2015-04-23,19:41,
23640,13***47,姚,先生,100.00,2015-04-23,19:41,
23640,zh***nk,詹,先生,200.00,2015-04-23,19:41,
23640,ic***ng,李,女士,100.00,2015-04-23,19:41,
23640,xu***14,许,女士,200.00,2015-04-23,19:41,
23640,ma***ei,许,女士,500.00,2015-04-23,19:41,
23640,ww***08,马,女士,1000.00,2015-04-23,19:41,
23640,xi***tj,张,女士,200.00,2015-04-23,19:41,
23640,wh***70,王,女士,100.00,2015-04-23,19:41,
23640,zc***12,李,先生,100.00,2015-04-23,19:41,
23640,xy***en,夏,先生,500.00,2015-04-23,19:41,
23640,sa***ni,高,女士,2000.00,2015-04-23,19:41,
23640,lq***52,刘,先生,100.00,2015-04-23,19:41,
23640,li***in,李,女士,500.00,2015-04-23,19:41,
23640,el***05,俞,女士,103.41,2015-04-23,19:41,
23640,sh***yl,刘,女士,200.00,2015-04-23,19:41,
23640,wy***62,王,先生,200.00,2015-04-23,19:41,
23640,xy***en,夏,先生,500.00,2015-04-23,19:41,
23640,ww***08,马,女士,1000.00,2015-04-23,19:41,
23640,ye***zm,黄,先生,100.00,2015-04-23,19:41,
23640,xu***14,许,女士,200.00,2015-04-23,19:41,
23640,qk***56,齐,先生,1000.00,2015-04-23,19:42,
23640,qi***f1,秦,女士,100.00,2015-04-23,19:42,
23640,xi***tj,张,女士,200.00,2015-04-23,19:42,
23640,41***ve,赵,女士,110.16,2015-04-23,19:42,
23640,mh***78,马,先生,122.90,2015-04-23,19:42,
23640,sm***in,林,女士,100.00,2015-04-23,19:42,
23640,wy***62,王,先生,200.00,2015-04-23,19:42,
23640,Su***er,刘,女士,100.01,2015-04-23,19:42,
23640,wa***e1,王,女士,100.00,2015-04-23,19:42,
23640,li***rk,黄,先生,109.77,2015-04-23,19:42,
23640,A5***78,曹,女士,103.70,2015-04-23,19:42,
23640,lq***52,刘,先生,200.00,2015-04-23,19:42,
23640,ic***ng,李,女士,100.00,2015-04-23,19:42,
23640,m1***86,俞,女士,100.00,2015-04-23,19:42,
23640,wa***e1,王,女士,100.00,2015-04-23,19:42,
23640,ma***ei,许,女士,500.00,2015-04-23,19:42,
23640,zh***ng,周,先生,100.00,2015-04-23,19:42,
23640,xi***ua,胡,女士,200.00,2015-04-23,19:42,
23640,li***in,李,女士,500.00,2015-04-23,19:42,
23640,me***24,孟,女士,60000.00,2015-04-23,19:42,
23640,ww***08,马,女士,1000.00,2015-04-23,19:42,
23640,sh***ng,史,先生,100.00,2015-04-23,19:42,
23640,wa***e1,王,女士,100.00,2015-04-23,19:42,
23640,xu***14,许,女士,200.00,2015-04-23,19:42,
23640,bl***qy,白,先生,200.00,2015-04-23,19:42,
23640,wl***04,王,先生,200.00,2015-04-23,19:42,
23640,bl***qy,白,先生,200.00,2015-04-23,19:42,
23640,ke***99,刘,女士,1000.00,2015-04-23,19:42,
23640,li***20,胡,女士,100.00,2015-04-23,19:42,
23640,ai***68,张,女士,100.00,2015-04-23,19:42,
23640,Gj***14,顾,先生,1000.00,2015-04-23,19:42,
23640,a8***99,符,先生,500.00,2015-04-23,19:42,
23640,zh***jh,张,先生,1000.00,2015-04-23,19:42,
23640,qk***56,齐,先生,1000.00,2015-04-23,19:42,
23640,ic***ng,李,女士,100.00,2015-04-23,19:42,
23640,wy***62,王,先生,200.00,2015-04-23,19:42,
23640,li***an,李,女士,200.00,2015-04-23,19:42,
23640,ci***ao,赵,女士,100.00,2015-04-23,19:42,
23640,ma***ei,许,女士,500.00,2015-04-23,19:42,
23640,13***73,伏,先生,100.00,2015-04-23,19:42,
23640,ww***ss,张,女士,5000.00,2015-04-23,19:42,
23640,so***28,宋,女士,100.00,2015-04-23,19:42,
23640,ni***16,倪,女士,400.93,2015-04-23,19:42,
23640,bl***qy,白,先生,200.00,2015-04-23,19:42,
23640,xu***14,许,女士,200.00,2015-04-23,19:42,
23640,wh***70,王,女士,100.00,2015-04-23,19:42,
23640,ha***68,董,先生,100.00,2015-04-23,19:42,
23640,tp***pz,谭,女士,100.00,2015-04-23,19:42,
23640,ai***68,张,女士,100.00,2015-04-23,19:42,
23640,wa***e1,王,女士,100.00,2015-04-23,19:42,
23640,xy***en,夏,先生,500.00,2015-04-23,19:42,
23640,el***ao,陶,女士,100.00,2015-04-23,19:42,
23640,Gj***14,顾,先生,1000.00,2015-04-23,19:42,
23640,bl***qy,白,先生,200.00,2015-04-23,19:42,
23640,de***55,张,先生,500.00,2015-04-23,19:42,
23640,a1***39,杨,女士,500.00,2015-04-23,19:42,
23640,wy***62,王,先生,200.00,2015-04-23,19:42,
23640,18***59,张,先生,200.00,2015-04-23,19:42,
23640,bl***qy,白,先生,200.00,2015-04-23,19:42,
23640,qk***56,齐,先生,1000.00,2015-04-23,19:42,
23640,Bi***er,吕,女士,3000.00,2015-04-23,19:42,
23640,bl***qy,白,先生,200.00,2015-04-23,19:42,
23640,wa***e1,王,女士,100.00,2015-04-23,19:42,
23640,bl***qy,白,先生,200.00,2015-04-23,19:42,
23640,xi***tj,张,女士,200.00,2015-04-23,19:42,
23640,m1***86,俞,女士,100.00,2015-04-23,19:42,
23640,wl***04,王,先生,200.00,2015-04-23,19:42,
23640,wj***08,丁,先生,106.93,2015-04-23,19:42,
23640,ye***zm,黄,先生,100.00,2015-04-23,19:42,
23640,Gj***14,顾,先生,1000.00,2015-04-23,19:42,
23640,lq***52,刘,先生,500.00,2015-04-23,19:42,
23640,wy***62,王,先生,200.00,2015-04-23,19:42,
23640,wa***e1,王,女士,100.00,2015-04-23,19:42,
23640,qk***56,齐,先生,1000.00,2015-04-23,19:42,
23640,xu***14,许,女士,200.00,2015-04-23,19:42,
23640,13***26,胡,女士,100.00,2015-04-23,19:42,
23640,xu***in,徐,先生,100.00,2015-04-23,19:42,
23640,a1***09,涂,女士,200.00,2015-04-23,19:42,
23640,el***ao,陶,女士,100.00,2015-04-23,19:42,
23640,mh***78,马,先生,100.00,2015-04-23,19:42,
23640,YJ***89,杨,女士,100.00,2015-04-23,19:42,
23640,ji***ng,张,女士,100.00,2015-04-23,19:42,
23640,mi***38,王,女士,300.00,2015-04-23,19:42,
23640,ab***02,谭,先生,100.00,2015-04-23,19:42,
23640,ma***ei,许,女士,500.00,2015-04-23,19:42,
23640,ci***ao,赵,女士,100.00,2015-04-23,19:42,
23640,co***xu,徐,女士,109.20,2015-04-23,19:42,
23640,Ly***80,李,女士,1000.00,2015-04-23,19:43,
23640,97***57,黄,女士,500.00,2015-04-23,19:43,
23640,ch***85,初,女士,414.20,2015-04-23,19:43,
23640,qk***56,齐,先生,1000.00,2015-04-23,19:43,
23640,zo***81,陈,女士,104.36,2015-04-23,19:43,
23640,tt***29,田,先生,100.00,2015-04-23,19:43,
23640,zh***nk,詹,先生,200.00,2015-04-23,19:43,
23640,wa***e1,王,女士,100.00,2015-04-23,19:43,
23640,ZH***UN,张,先生,1000.00,2015-04-23,19:43,
23640,A5***78,曹,女士,100.32,2015-04-23,19:43,
23640,a1***09,涂,女士,200.00,2015-04-23,19:43,
23640,mh***78,马,先生,100.00,2015-04-23,19:43,
23640,wy***62,王,先生,200.00,2015-04-23,19:43,
23640,xi***tj,张,女士,200.00,2015-04-23,19:43,
23640,13***26,胡,女士,100.00,2015-04-23,19:43,
