编号,ID,姓,性别,投资金额,投资日期,投资时间,
22375,ki***mi,朱,女士,300.00,2015-04-14,21:47,
22375,CA***01,赵,女士,103.06,2015-04-14,21:47,
22375,gi***ck,顾,先生,100.00,2015-04-14,21:47,
22375,c9***15,崔,先生,100.00,2015-04-14,21:47,
22375,cy***88,李,女士,100.00,2015-04-14,21:47,
22375,ay***en,徐,先生,500.00,2015-04-14,21:47,
22375,si***an,邹,女士,204.19,2015-04-14,21:47,
22375,ye***cl,叶,先生,500.00,2015-04-14,21:47,
22375,Li***Li,李,女士,220.00,2015-04-14,21:47,
22375,cy***88,李,女士,100.00,2015-04-14,21:47,
22375,ma***ee,王,先生,300.00,2015-04-14,21:48,
22375,ll***26,李,先生,105.24,2015-04-14,21:48,
22375,ye***cl,叶,先生,500.00,2015-04-14,21:48,
22375,sh***03,叶,女士,100.27,2015-04-14,21:48,
22375,sh***ng,沈,女士,500.00,2015-04-14,21:48,
22375,al***11,许,先生,100.00,2015-04-14,21:48,
22375,Ji***an,李,女士,100.00,2015-04-14,21:48,
22375,ye***cl,叶,先生,500.00,2015-04-14,21:48,
22375,xl***23,熊,先生,100.00,2015-04-14,21:48,
22375,li***ve,邓,女士,4005.96,2015-04-14,21:48,
22375,sh***ng,沈,女士,500.00,2015-04-14,21:48,
22375,mi***on,朴,先生,100.00,2015-04-14,21:48,
22375,15***50,郭,先生,100.00,2015-04-14,21:48,
22375,80***33,余,女士,100.00,2015-04-14,21:48,
22375,ye***cl,叶,先生,500.00,2015-04-14,21:48,
22375,ch***14,苏,女士,3000.00,2015-04-14,21:48,
22375,mr***23,白,先生,100.00,2015-04-14,21:48,
22375,mo***89,莫,女士,100.00,2015-04-14,21:48,
22375,sh***ng,沈,女士,500.00,2015-04-14,21:48,
22375,ye***cl,叶,先生,500.00,2015-04-14,21:48,
22375,ai***fk,范,女士,100.00,2015-04-14,21:48,
22375,wa***ng,王,女士,103.07,2015-04-14,21:48,
22375,ki***mi,朱,女士,223.65,2015-04-14,21:49,
22375,Y***,郭,先生,103.14,2015-04-14,21:49,
22375,li***06,陈,先生,100.00,2015-04-14,21:49,
22375,zh***ng,张,先生,150.00,2015-04-14,21:49,
22375,sh***ng,沈,女士,500.00,2015-04-14,21:49,
22375,13***49,邵,女士,103.03,2015-04-14,21:49,
22375,ye***cl,叶,先生,500.00,2015-04-14,21:49,
22375,ki***23,甄,先生,100.00,2015-04-14,21:49,
22375,36***97,舒,先生,100.00,2015-04-14,21:49,
22375,lu***ng,陆,先生,100.00,2015-04-14,21:49,
22375,ln***ht,王,先生,100.80,2015-04-14,21:49,
22375,li***ei,刘,先生,103.06,2015-04-14,21:49,
22375,da***an,张,女士,2155.10,2015-04-14,21:49,
22375,sh***ng,沈,女士,500.00,2015-04-14,21:49,
22375,ye***cl,叶,先生,500.00,2015-04-14,21:49,
22375,z1***45,张,女士,100.01,2015-04-14,21:49,
22375,zh***an,赵,女士,500.00,2015-04-14,21:49,
22375,he***a1,曾,女士,100.00,2015-04-14,21:49,
22375,sh***ng,沈,女士,500.00,2015-04-14,21:49,
22375,fa***08,乔,先生,100.00,2015-04-14,21:49,
22375,li***an,李,先生,200.00,2015-04-14,21:49,
22375,no***19,刘,女士,500.00,2015-04-14,21:49,
22375,dy***15,周,女士,100.00,2015-04-14,21:49,
22375,ye***cl,叶,先生,500.00,2015-04-14,21:49,
22375,sh***ng,沈,女士,500.00,2015-04-14,21:49,
22375,gy***in,沈,女士,100.00,2015-04-14,21:49,
22375,15***67,李,女士,100.00,2015-04-14,21:49,
22375,w1***30,温,先生,130.00,2015-04-14,21:50,
22375,sh***ng,沈,女士,500.00,2015-04-14,21:50,
22375,no***19,刘,女士,300.00,2015-04-14,21:50,
22375,ye***cl,叶,先生,500.00,2015-04-14,21:50,
22375,li***03,谭,先生,100.00,2015-04-14,21:50,
22375,zh***iu,张,女士,103.04,2015-04-14,21:50,
22375,sh***ng,沈,女士,500.00,2015-04-14,21:50,
22375,zg***86,甘,先生,100.00,2015-04-14,21:50,
22375,wa***hi,王,女士,100.00,2015-04-14,21:50,
22375,ye***cl,叶,先生,500.00,2015-04-14,21:50,
22375,w1***66,王,先生,100.00,2015-04-14,21:50,
22375,he***23,李,先生,100.00,2015-04-14,21:50,
22375,zy***ng,张,先生,300.51,2015-04-14,21:50,
22375,li***49,李,先生,100.00,2015-04-14,21:50,
22375,do***15,周,女士,100.00,2015-04-14,21:50,
22375,lu***60,孙,女士,100.00,2015-04-14,21:50,
22375,du***an,周,女士,103.31,2015-04-14,21:50,
22375,13***46,吴,女士,100.00,2015-04-14,21:50,
22375,y2***62,易,女士,100.00,2015-04-14,21:50,
22375,yf***27,王,女士,100.00,2015-04-14,21:50,
22375,15***04,相,女士,103.18,2015-04-14,21:50,
22375,li***ng,李,女士,400.00,2015-04-14,21:50,
22375,LL***00,刘,女士,104.46,2015-04-14,21:50,
22375,li***98,蔡,女士,131.76,2015-04-14,21:50,
22375,ye***cl,叶,先生,500.00,2015-04-14,21:50,
22375,qj***61,陈,先生,22547.55,2015-04-14,21:51,
22375,sh***ng,沈,女士,500.00,2015-04-14,21:51,
